FID,Id,X,Y,DEM,Eq_Dis,Faults_Dis,Aspect,Comp_Cur,WaterSys_Dis,Plan_Cur,Prof_Cur,Slope
49,0,12159615.55,4432541.92,1486,29449,38291.39844,293.1990051,-0.333333,5705.049805,-0.511111,-0.177778,1.81752
50,0,12159645.55,4432541.92,1486,29445.80078,38284.60156,150.9450073,-0.333333,5675.080078,-0.155556,0.177778,2.4563899
51,0,12159675.55,4432541.92,1485,29442.59961,38277.80078,177.2740021,-0.666667,5645.100098,-0.222222,0.444444,5.0062799
52,0,12159705.55,4432541.92,1486,29439.5,38271.10156,194.0359955,-0.333333,5615.129883,-0.0545073,0.278826,5.8851299
53,0,12159735.55,4432541.92,1487,29436.40039,38264.39844,202.3800049,-0.333333,5585.160156,-0.284444,0.0488889,4.3804898
54,0,12159765.55,4432541.92,1489,29433.30078,38257.60156,216.8699951,0.444444,5555.189941,0.111111,-0.333333,2.3859401
55,0,12159795.55,4432541.92,1489,29430.19922,38250.89844,246.8009949,-0.111111,5525.209961,0,0.111111,1.81752
56,0,12159825.55,4432541.92,1490,29427.19922,38244.30078,239.0359955,-0.111111,5495.240234,0,0.111111,2.7818899
57,0,12159855.55,4432541.92,1491,29424.19922,38237.60156,220.6009979,-0.333333,5465.27002,-0.0444444,0.288889,4.3933802
58,0,12159885.55,4432541.92,1493,29421.30078,38231,214.9920044,-0.111111,5435.299805,0.0108401,0.121951,5.8082199
59,0,12159915.55,4432541.92,1495,29418.40039,38224.39844,216.8699951,-0.111111,5405.330078,-0.010929,0.100182,7.12502
60,0,12159945.55,4432541.92,1498,29415.5,38217.80078,210.9640045,0.333333,5375.359863,0.17094,-0.162393,6.92625
61,0,12159975.55,4432541.92,1499,29412.59961,38211.19922,210.0690002,0,5345.390137,-0.174837,-0.174837,5.2266998
62,0,12160005.55,4432541.92,1501,29409.80078,38204.69922,230.7109985,0.333333,5315.419922,0.0598291,-0.273504,3.38907
63,0,12160035.55,4432541.92,1502,29407,38198.19922,263.6600037,-0.111111,5285.450195,0.222222,0.333333,4.3154502
64,0,12160065.55,4432541.92,1506,29404.19922,38191.69922,265.9140015,0.555556,5255.479981,0.444444,-0.111111,6.6712298
65,0,12160095.55,4432541.92,1509,29401.5,38185.19922,254.3580017,0.222222,5225.509766,0.25,0.0277778,6.1738501
66,0,12160125.55,4432541.92,1512,29398.80078,38178.80078,238.2409973,0.444444,5195.549805,0.348039,-0.0964052,5.8755698
67,0,12160155.55,4432541.92,1514,29396.09961,38172.39844,218.9909973,0.111111,5165.580078,0.178862,0.0677507,6.4231501
68,0,12160185.55,4432541.92,1516,29393.40039,38165.89844,193.5700073,0.444444,5135.609863,0.261438,-0.183007,7.0857301
69,0,12160215.55,4432541.92,1516,29390.80078,38159.10156,183.8139954,0.222222,5105.640137,0,-0.222222,7.1406698
70,0,12160245.55,4432541.92,1516,29388.19922,38152.19922,191.3099976,-0.111111,5075.680176,-0.135135,-0.024024,6.0637698
