FID,Name,X,Y,Depth,Cls,DEM,WaterSys_Dis,Slope,Plan_Cur,Prof_Cur,Comp_Cur,Aspect,Faults_Dis,Eq_Dis
16,H13,12161220.000000000000000,4434999.345999999903142,16,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
17,H13,12161220.000000000000000,4434999.345999999903142,17,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
18,H13,12161220.000000000000000,4434999.345999999903142,18,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
19,H13,12161220.000000000000000,4434999.345999999903142,19,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
20,H13,12161220.000000000000000,4434999.345999999903142,20,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
21,H13,12161220.000000000000000,4434999.345999999903142,21,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
22,H13,12161220.000000000000000,4434999.345999999903142,22,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
23,H13,12161220.000000000000000,4434999.345999999903142,23,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
24,H13,12161220.000000000000000,4434999.345999999903142,24,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
25,H13,12161220.000000000000000,4434999.345999999903142,25,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
26,H13,12161220.000000000000000,4434999.345999999903142,26,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
27,H13,12161220.000000000000000,4434999.345999999903142,27,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
28,H13,12161220.000000000000000,4434999.345999999903142,28,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
29,H13,12161220.000000000000000,4434999.345999999903142,29,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
30,H13,12161220.000000000000000,4434999.345999999903142,30,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
31,H13,12161220.000000000000000,4434999.345999999903142,31,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
32,H13,12161220.000000000000000,4434999.345999999903142,32,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
33,H13,12161220.000000000000000,4434999.345999999903142,33,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
34,H13,12161220.000000000000000,4434999.345999999903142,34,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
35,H13,12161220.000000000000000,4434999.345999999903142,35,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
36,H13,12161220.000000000000000,4434999.345999999903142,36,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
37,H13,12161220.000000000000000,4434999.345999999903142,37,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
38,H13,12161220.000000000000000,4434999.345999999903142,38,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
39,H13,12161220.000000000000000,4434999.345999999903142,39,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
40,H13,12161220.000000000000000,4434999.345999999903142,40,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
41,H13,12161220.000000000000000,4434999.345999999903142,41,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
42,H13,12161220.000000000000000,4434999.345999999903142,42,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
43,H13,12161220.000000000000000,4434999.345999999903142,43,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
44,H13,12161220.000000000000000,4434999.345999999903142,44,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
45,H13,12161220.000000000000000,4434999.345999999903142,45,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
